Honeywell|1969
Apple Computer|1977
Bally Consumer Products|1977
Commodore|1977
Intelligent Systems Corporation|1977
Radio Shack|1977
Sord Computer Corporation|1977
Videobrain|1977
Exidy|1978
Luxor|1978
APF Electronics, Inc.|1979
Atari, Inc.|1979
Interact|1979
Sharp|1979
Texas Instruments|1979
Acorn Computers Ltd|1980
Data Applications International|1980
EACA|1980
Philips|1980
Pravetz|1980
Sinclair Research|1980
NEC|1981
NEC Home Electronics|1981
PEL Varaždin|1981
Progeni Systems / Polycorp|1981
Aster Computers|1982
Dragon Data|1982
Franklin Computer Corporation|1982
Fujitsu|1982
Grundy Business Systems|1982
Jupiter Cantab|1982
Thomson|1982
Timex Sinclair|1982
Camputers|1983
Coleco|1983
Comx World Operations|1983
Ivasim|1983
Matra|1983
Mattel|1983
Memotech|1983
Microbee Systems|1983
Multitech|1983
Rabbit|1983
Sega|1983
Tangerine Computer Systems|1983
AGAT|1984
Amstrad|1984
Apricot Computers|1984
IBM|1984
Prológica|1984
Technosys|1984
VEB Robotron|1984
West Computer AS|1984
Atari Corporation|1985
Comércio de Componentes Eletrônicos|1985
Elektronika|1985
Elektronska Industrija Niš|1985
GEM|1985
Gradiente|1985
Intelligent Software|1985
Lambda Electronics|1985
Microdigital Eletronica|1985
Tesla|1985
Vtech|1985
Brasov Computer|1986
Didaktik|1986
Tomy|1986
Tsinghua University|1986
Videoton|1986
Vector|1987
Schneider Computer Division|1988
Iskra|1989
Miles Gordon Technology|1989
Štátny majetok Závadka š.p.|1989
Intercompex|1990
Dubna|1991
